9780262529518;Machine Learning - The New AI;Ethem Alpaydin;MIT Press;http://books.google.com/books/content?id=AGQ4DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-10-07;en
9781608717927;Encyclopedia of U.S. - Latin American Relations;Thomas Leonard, Jurgen Buchenau, Kyle Longley, Graeme Mount;CQ Press;http://books.google.com/books/content?id=tIOzDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Political Science;2012-01-31;en
9781491975930;Devops with Openshift - Cloud Deployments Made Easy;Stefano Picozzi;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=HMIrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;2017-07-10;en
9781491979655;Kubernetes Cookbook - Building Cloud Native Applications;Sébastien Goasguen, Michael Hausenblas;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=HBlMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-02-14;en
1787280241;Mastering Docker - Second Edition;Russ McKendrick, Scott Gallagher;;http://books.google.com/books/content?id=A17JswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2017-07-21;en
9781787129207;Docker Orchestration;Randall Smith;Packt Publishing Ltd;http://books.google.com/books/content?id=4U8oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-01-24;en
9781787126145;Continuous Delivery with Docker and Jenkins;Rafal Leszko;Packt Publishing Ltd;http://books.google.com/books/content?id=RpZGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-08-24;en
9781492036708;Docker: Up & Running - Shipping Reliable Containers in Production;Sean P. Kane, Karl Matthias;O'Reilly Media;http://books.google.com/books/content?id=GVJtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-09-07;en
9780134610696;Swift Programming - The Big Nerd Ranch Guide;Matthew Mathias, John Gallagher;Pearson Technology Group;http://books.google.com/books/content?id=fhiMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-11-23;en
9780321706461;iPhone Programming - The Big Nerd Ranch Guide;Aaron Hillegass, Joe Conway;Addison-Wesley Professional;http://books.google.com/books/content?id=gj7tjxGztGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2010-04-13;en
9780134171500;Android Programming - The Big Nerd Ranch Guide;Bill Phillips, Chris Stewart;Addison-Wesley Professional;http://books.google.com/books/content?id=GjZKCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2015-08-01;en
9781449388416;Android Cookbook;Ian Darwin;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=Rq6iRHxSyh4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2012-04-20;en
9780134494326;Clean Architecture - A Craftsman's Guide to Software Structure and Design;Robert C. Martin;Prentice Hall;http://books.google.com/books/content?id=uGE1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-09-12;en
0321700694;Design Patterns - Elements of Reusable Object-Oriented Software (Adobe Reader);Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides;Pearson Education;http://books.google.com/books/content?id=6oHuKQe3TjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;1994-10-31;en
9781593278823;Serious Cryptography - A Practical Introduction to Modern Encryption;Jean-Philippe Aumasson;No Starch Press;http://books.google.com/books/content?id=hLcrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-11-21;en
3642041019;Understanding Cryptography - A Textbook for Students and Practitioners;Christof Paar, Jan Pelzl;Springer Science & Business Media;http://books.google.com/books/content?id=f24wFELSzkoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2009-11-27;en
9781593278441;Attacking Network Protocols - A Hacker's Guide to Capture, Analysis, and Exploitation;James Forshaw;No Starch Press;http://books.google.com/books/content?id=kLgrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-01-02;en
9781907117046;Bulletproof SSL and TLS - Understanding and Deploying SSL/TLS and PKI to Secure Servers and Web Applications;Ivan Ristic;Feisty Duck;http://books.google.com/books/content?id=fQOLBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2014;en
1975924584;Hash Crack - Password Cracking Manual;Joshua Picolet;Createspace Independent Publishing Platform;http://books.google.com/books/content?id=luonswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computer security;2017-09;en
0375890122;The Code Book: The Secrets Behind Codebreaking;Simon Singh;Delacorte Books for Young Readers;http://books.google.com/books/content?id=8CHcJQzDPCkC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Young Adult Nonfiction;2002-05-14;en
9781593278694;Cracking Codes with Python - An Introduction to Building and Breaking Ciphers;Al Sweigart;No Starch Press;http://books.google.com/books/content?id=nrgrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-01-23;en
9781484226049;Blockchain Basics - A Non-Technical Introduction in 25 Steps;Daniel Drescher;Apress;http://books.google.com/books/content?id=k4lcDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-03-14;en
1523930470;Ethereum - Blockchains, Digital Assets, Smart Contracts, Decentralised Autonomous Organisations;Henning Diedrich;;;;2016-09-08;en
8131206246;Introduction To Data Compression, 3E;Khalid Sayood;;;Electronic book;2010;en
9781491961483;Understanding Compression - Data Compression for Modern Developers;Colt McAnlis, Aleks Haecky;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=Ii6rDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-07-13;en
9781449327484;Regular Expressions Cookbook - Detailed Solutions in Eight Programming Languages;Jan Goyvaerts, Steven Levithan;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=0Msuh5Vq-uYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2012-08-13;en
0262032937;Introduction To Algorithms;Thomas H.. Cormen, Thomas H Cormen, Charles E Leiserson, Ronald L Rivest, Clifford Stein;MIT Press;http://books.google.com/books/content?id=NLngYyWFl_YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2001;en
9780321684134;Agile Product Management with Scrum - Creating Products that Customers Love (Adobe Reader);Roman Pichler;Addison-Wesley Professional;http://books.google.com/books/content?id=aLSu0P0EojEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2010-03-11;en
9780385346467;Scrum - The Art of Doing Twice the Work in Half the Time;Jeff Sutherland, JJ Sutherland;Currency;http://books.google.com/books/content?id=93tIAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Business & Economics;2014-09-30;en
1491984872;Design, Build, Ship - Faster, Safer Software Delivery;Sam Newman;O'Reilly Media;http://books.google.com/books/content?id=pBI_tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2019;en
9780134291086;Developer Testing - Building Quality into Software;Alexander Tarlinder;Addison-Wesley Professional;http://books.google.com/books/content?id=Csz3DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-09-07;en
1680500880;Modern Perl;Chromatic;Pragmatic Bookshelf;http://books.google.com/books/content?id=JUjmsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;2015-10-29;en
1292025603;Fundamentals of Database Systems;Ramez Elmasri, Shamkant Navathe;;http://books.google.com/books/content?id=x3HanQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Database design;2013-07-23;en
9780387216065;The Elements of Statistical Learning - Data Mining, Inference, and Prediction;Trevor Hastie, Robert Tibshirani, Jerome Friedman;Springer Science & Business Media;http://books.google.com/books/content?id=yPfZBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Mathematics;2013-11-11;en
168050200X;Programming Elixir 1. 3 - Functional > Concurrent > Pragmatic > Fun;Dave Thomas;Pragmatic Bookshelf;http://books.google.com/books/content?id=X2AuvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2016-11-03;en
0201485419;The Art of Computer Programming - Sorting and searching. Vol. 3;Donald Ervin Knuth;;http://books.google.com/books/content?id=5VpTDQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;2007;en
9780136083252;Clean Code - A Handbook of Agile Software Craftsmanship;Robert C. Martin;Pearson Education;http://books.google.com/books/content?id=_i6bDeoCQzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2008-08-01;en
